batch_id,tweet_in_batch,tweet_id,tweet,condition,R1_response,R2_response,R3_response,R1_label,R2_label,R3_label
32,6,1221,RT @###### You guys are all the best @###### @###### @###### @###### @###### love you nig nogs #indyfam,C.OL,OL,OL,OL,OL,OL,OL
33,1,2971,My sister called the chinks an asked was they open ctfu she fried!!,A,"OL, NH","OL, HS","OL, HS","OL, NH","OL, HS","OL, HS"
33,1,2971,My sister called the chinks an asked was they open ctfu she fried!!,B,"HS, OL","HS, OL","HS, OL","HS, OL","HS, OL","HS, OL"
33,1,2971,My sister called the chinks an asked was they open ctfu she fried!!,C.HS,HS,NH,NH,HS,NH,NH
33,1,2971,My sister called the chinks an asked was they open ctfu she fried!!,C.OL,OL,OL,OL,OL,OL,OL
33,2,1585,RT @###### My bitch wanna post a thirst trap ima just not pay the water bill that month. We all gon be thirsty,A,"OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL, NH"
33,2,1585,RT @###### My bitch wanna post a thirst trap ima just not pay the water bill that month. We all gon be thirsty,B,"NH, OL","NH, OL","NH, OL","NH, OL","NH, OL","NH, OL"
33,2,1585,RT @###### My bitch wanna post a thirst trap ima just not pay the water bill that month. We all gon be thirsty,C.HS,NH,NH,NH,NH,NH,NH
33,2,1585,RT @###### My bitch wanna post a thirst trap ima just not pay the water bill that month. We all gon be thirsty,C.OL,OL,OL,OL,OL,OL,OL
33,3,1088,@###### @###### u guys are fags.,A,"OL, HS","OL, HS","OL, HS","OL, HS","OL, HS","OL, HS"
33,3,1088,@###### @###### u guys are fags.,B,"HS, OL","HS, OL","HS, OL","HS, OL","HS, OL","HS, OL"
33,3,1088,@###### @###### u guys are fags.,C.HS,HS,HS,HS,HS,HS,HS
33,3,1088,@###### @###### u guys are fags.,C.OL,OL,OL,OL,OL,OL,OL
33,4,1473,"#BigBird was made by a gay couple. So yes, under a GOP world the bird would not have existed since its creators would be in jail for sodomy.",A,"OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL, NH"
33,4,1473,"#BigBird was made by a gay couple. So yes, under a GOP world the bird would not have existed since its creators would be in jail for sodomy.",B,"NH, NO","NH, OL","HS, OL","NH, NO","NH, OL","HS, OL"
33,4,1473,"#BigBird was made by a gay couple. So yes, under a GOP world the bird would not have existed since its creators would be in jail for sodomy.",C.HS,NH,NH,NH,NH,NH,NH
33,4,1473,"#BigBird was made by a gay couple. So yes, under a GOP world the bird would not have existed since its creators would be in jail for sodomy.",C.OL,OL,OL,OL,OL,OL,OL
33,5,402,"&#8220;@###### @###### pretty boy face&#8221;
Awee thanks faggot",A,"OL, HS","OL, HS","OL, HS","OL, HS","OL, HS","OL, HS"
33,5,402,"&#8220;@###### @###### pretty boy face&#8221;
Awee thanks faggot",B,"HS, OL","HS, OL","HS, OL","HS, OL","HS, OL","HS, OL"
33,5,402,"&#8220;@###### @###### pretty boy face&#8221;
Awee thanks faggot",C.HS,HS,HS,NH,HS,HS,NH
33,5,402,"&#8220;@###### @###### pretty boy face&#8221;
Awee thanks faggot",C.OL,OL,OL,OL,OL,OL,OL
33,6,116,Lmaoooooo @ Supreme being trash. Guess Bape is trash to huh?,A,"NO, NH","NO, NH","NO, NH","NO, NH","NO, NH","NO, NH"
33,6,116,Lmaoooooo @ Supreme being trash. Guess Bape is trash to huh?,B,"NH, NO","NH, OL","NH, NO","NH, NO","NH, OL","NH, NO"
33,6,116,Lmaoooooo @ Supreme being trash. Guess Bape is trash to huh?,C.HS,NH,NH,NH,NH,NH,NH
33,6,116,Lmaoooooo @ Supreme being trash. Guess Bape is trash to huh?,C.OL,NO,NO,NO,NO,NO,NO
34,1,1732,RT @###### I would rather fuck a fat chick than allow a nigger into my house.,A,"OL, HS","OL, HS","OL, HS","OL, HS","OL, HS","OL, HS"
34,1,1732,RT @###### I would rather fuck a fat chick than allow a nigger into my house.,B,"HS, OL","HS, OL","HS, OL","HS, OL","HS, OL","HS, OL"
34,1,1732,RT @###### I would rather fuck a fat chick than allow a nigger into my house.,C.HS,HS,HS,HS,HS,HS,HS
34,1,1732,RT @###### I would rather fuck a fat chick than allow a nigger into my house.,C.OL,OL,OL,OL,OL,OL,OL
34,2,686,Hitler didn't finish it. Can u. If a nigger ur Jew confronts u in the street what then.,A,"OL, HS","OL, HS","OL, HS","OL, HS","OL, HS","OL, HS"
34,2,686,Hitler didn't finish it. Can u. If a nigger ur Jew confronts u in the street what then.,B,"HS, OL","HS, OL","HS, OL","HS, OL","HS, OL","HS, OL"
34,2,686,Hitler didn't finish it. Can u. If a nigger ur Jew confronts u in the street what then.,C.HS,HS,HS,HS,HS,HS,HS
34,2,686,Hitler didn't finish it. Can u. If a nigger ur Jew confronts u in the street what then.,C.OL,OL,OL,OL,OL,OL,OL
34,3,917,RT @###### &#127379;kk bitch TD in 17'&#128275; Jeff b home real soon &#9981;&#127344;&#127382;,A,"OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL, NH"
34,3,917,RT @###### &#127379;kk bitch TD in 17'&#128275; Jeff b home real soon &#9981;&#127344;&#127382;,B,"NH, OL","NH, OL","NH, OL","NH, OL","NH, OL","NH, OL"
34,3,917,RT @###### &#127379;kk bitch TD in 17'&#128275; Jeff b home real soon &#9981;&#127344;&#127382;,C.HS,NH,NH,NH,NH,NH,NH
34,3,917,RT @###### &#127379;kk bitch TD in 17'&#128275; Jeff b home real soon &#9981;&#127344;&#127382;,C.OL,OL,OL,OL,OL,OL,OL
34,4,2515,@###### I'm in this bitch on some insomnia shit. Been in bed since midnight.,A,"OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL, NH"
34,4,2515,@###### I'm in this bitch on some insomnia shit. Been in bed since midnight.,B,"NH, OL","NH, OL","NH, OL","NH, OL","NH, OL","NH, OL"
34,4,2515,@###### I'm in this bitch on some insomnia shit. Been in bed since midnight.,C.HS,NH,NH,NH,NH,NH,NH
34,4,2515,@###### I'm in this bitch on some insomnia shit. Been in bed since midnight.,C.OL,OL,OL,OL,OL,OL,OL
34,5,2014,RT @###### Destroying a team that talked trash before the game &gt;&gt; &#128076;,A,"NO, NH","NO, NH","NO, NH","NO, NH","NO, NH","NO, NH"
34,5,2014,RT @###### Destroying a team that talked trash before the game &gt;&gt; &#128076;,B,"NH, NO","NH, NO","NH, NO","NH, NO","NH, NO","NH, NO"
34,5,2014,RT @###### Destroying a team that talked trash before the game &gt;&gt; &#128076;,C.HS,NH,NH,NH,NH,NH,NH
34,5,2014,RT @###### Destroying a team that talked trash before the game &gt;&gt; &#128076;,C.OL,NO,NO,NO,NO,NO,NO
34,6,370,@###### You really seem to love Sandusky. Weirdo. Ur a creepy ass cracker!,A,"OL, HS","OL, HS","OL, HS","OL, HS","OL, HS","OL, HS"
34,6,370,@###### You really seem to love Sandusky. Weirdo. Ur a creepy ass cracker!,B,"HS, OL","HS, OL","HS, OL","HS, OL","HS, OL","HS, OL"
34,6,370,@###### You really seem to love Sandusky. Weirdo. Ur a creepy ass cracker!,C.HS,HS,HS,HS,HS,HS,HS
34,6,370,@###### You really seem to love Sandusky. Weirdo. Ur a creepy ass cracker!,C.OL,OL,OL,OL,OL,OL,OL
35,1,1589,"The punishment should fit the crime. For instance, if you take the last Twinkie you should choke on that Twinkie. Twinkie's are sacred.",A,"NO, NH","NO, NH","NO, NH","NO, NH","NO, NH","NO, NH"
35,1,1589,"The punishment should fit the crime. For instance, if you take the last Twinkie you should choke on that Twinkie. Twinkie's are sacred.",B,"NH, NO","NH, NO","NH, NO","NH, NO","NH, NO","NH, NO"
35,1,1589,"The punishment should fit the crime. For instance, if you take the last Twinkie you should choke on that Twinkie. Twinkie's are sacred.",C.HS,NH,NH,NH,NH,NH,NH
35,1,1589,"The punishment should fit the crime. For instance, if you take the last Twinkie you should choke on that Twinkie. Twinkie's are sacred.",C.OL,NO,NO,NO,NO,NO,NO
35,2,1940,Eagles fuck around &amp; lose it'll be kill the cracker at the Sophi crib smfh,A,"OL, HS","OL, HS","OL, HS","OL, HS","OL, HS","OL, HS"
35,2,1940,Eagles fuck around &amp; lose it'll be kill the cracker at the Sophi crib smfh,B,"HS, OL","HS, OL","HS, OL","HS, OL","HS, OL","HS, OL"
35,2,1940,Eagles fuck around &amp; lose it'll be kill the cracker at the Sophi crib smfh,C.HS,HS,NH,HS,HS,NH,HS
35,2,1940,Eagles fuck around &amp; lose it'll be kill the cracker at the Sophi crib smfh,C.OL,OL,OL,OL,OL,OL,OL
35,3,1832,@###### @###### trash ain't it,A,"OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL, NH"
35,3,1832,@###### @###### trash ain't it,B,"NH, OL","NH, OL","NH, OL","NH, OL","NH, OL","NH, OL"
35,3,1832,@###### @###### trash ain't it,C.HS,NH,NH,NH,NH,NH,NH
35,3,1832,@###### @###### trash ain't it,C.OL,OL,OL,OL,OL,OL,OL
35,4,481,how the fuck do all these fucking faggot ass randos even find zoe's ask account????,A,"OL, HS","OL, HS","OL, HS","OL, HS","OL, HS","OL, HS"
35,4,481,how the fuck do all these fucking faggot ass randos even find zoe's ask account????,B,"HS, OL","HS, OL","HS, OL","HS, OL","HS, OL","HS, OL"
35,4,481,how the fuck do all these fucking faggot ass randos even find zoe's ask account????,C.HS,HS,NH,HS,HS,NH,HS
35,4,481,how the fuck do all these fucking faggot ass randos even find zoe's ask account????,C.OL,OL,OL,OL,OL,OL,OL
35,5,769,&#8220;@###### I know u didnt hit that jigga with my fav purse. .. @###### chill! &#128514;&#128514;,A,"OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL, NH"
35,5,769,&#8220;@###### I know u didnt hit that jigga with my fav purse. .. @###### chill! &#128514;&#128514;,B,"NH, OL","NH, OL","NH, OL","NH, OL","NH, OL","NH, OL"
35,5,769,&#8220;@###### I know u didnt hit that jigga with my fav purse. .. @###### chill! &#128514;&#128514;,C.HS,NH,NH,NH,NH,NH,NH
35,5,769,&#8220;@###### I know u didnt hit that jigga with my fav purse. .. @###### chill! &#128514;&#128514;,C.OL,OL,OL,OL,OL,OL,OL
35,6,2727,&#8220;@###### 100% of the female population needs to stop being such a bitch&#8221;,A,"OL, HS","OL, HS","OL, HS","OL, HS","OL, HS","OL, HS"
35,6,2727,&#8220;@###### 100% of the female population needs to stop being such a bitch&#8221;,B,"HS, OL","HS, OL","HS, OL","HS, OL","HS, OL","HS, OL"
35,6,2727,&#8220;@###### 100% of the female population needs to stop being such a bitch&#8221;,C.HS,HS,NH,HS,HS,NH,HS
35,6,2727,&#8220;@###### 100% of the female population needs to stop being such a bitch&#8221;,C.OL,OL,OL,OL,OL,OL,OL
36,1,119,RT @###### You know a girl is a hoe if her Instagram isn't private,A,"OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL, NH"
36,1,119,RT @###### You know a girl is a hoe if her Instagram isn't private,B,"NH, OL","NH, OL","NH, OL","NH, OL","NH, OL","NH, OL"
36,1,119,RT @###### You know a girl is a hoe if her Instagram isn't private,C.HS,NH,NH,HS,NH,NH,HS
36,1,119,RT @###### You know a girl is a hoe if her Instagram isn't private,C.OL,OL,OL,OL,OL,OL,OL
36,2,181,"fuck ray rice ,someone crack that bitch",A,"OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL, NH"
36,2,181,"fuck ray rice ,someone crack that bitch",B,"NH, OL","NH, OL","NH, OL","NH, OL","NH, OL","NH, OL"
36,2,181,"fuck ray rice ,someone crack that bitch",C.HS,NH,NH,NH,NH,NH,NH
36,2,181,"fuck ray rice ,someone crack that bitch",C.OL,OL,OL,OL,OL,OL,OL
36,3,541,@###### @###### Do you think the guinea pig was okay? :(,A,"NO, NH","NO, NH","NO, NH","NO, NH","NO, NH","NO, NH"
36,3,541,@###### @###### Do you think the guinea pig was okay? :(,B,"NH, NO","NH, NO","NH, NO","NH, NO","NH, NO","NH, NO"
36,3,541,@###### @###### Do you think the guinea pig was okay? :(,C.HS,NH,NH,NH,NH,NH,NH
36,3,541,@###### @###### Do you think the guinea pig was okay? :(,C.OL,NO,NO,NO,NO,NO,NO
36,4,1703,"Some guy at orientation got asked what his top 3 favorite music artists are and the first thing this bitch said was ""Usher"".",A,"OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL, NH"
36,4,1703,"Some guy at orientation got asked what his top 3 favorite music artists are and the first thing this bitch said was ""Usher"".",B,"NH, OL","NH, OL","NH, OL","NH, OL","NH, OL","NH, OL"
36,4,1703,"Some guy at orientation got asked what his top 3 favorite music artists are and the first thing this bitch said was ""Usher"".",C.HS,NH,NH,NH,NH,NH,NH
36,4,1703,"Some guy at orientation got asked what his top 3 favorite music artists are and the first thing this bitch said was ""Usher"".",C.OL,OL,OL,OL,OL,OL,OL
36,5,2894,RT @###### Get real & fucking fight or don't play me. I don't play with pussy ass niggas.,A,"OL, HS","OL, NH","OL, NH","OL, HS","OL, NH","OL, NH"
36,5,2894,RT @###### Get real & fucking fight or don't play me. I don't play with pussy ass niggas.,B,"HS, OL","HS, OL","HS, OL","HS, OL","HS, OL","HS, OL"
36,5,2894,RT @###### Get real & fucking fight or don't play me. I don't play with pussy ass niggas.,C.HS,HS,NH,HS,HS,NH,HS
36,5,2894,RT @###### Get real & fucking fight or don't play me. I don't play with pussy ass niggas.,C.OL,OL,OL,OL,OL,OL,OL
36,6,2051,That nigga Tannehill trash lmao Dolphins trash,A,"OL, HS","OL, HS","OL, HS","OL, HS","OL, HS","OL, HS"
36,6,2051,That nigga Tannehill trash lmao Dolphins trash,B,"HS, OL","HS, OL","HS, OL","HS, OL","HS, OL","HS, OL"
36,6,2051,That nigga Tannehill trash lmao Dolphins trash,C.HS,HS,NH,HS,HS,NH,HS
36,6,2051,That nigga Tannehill trash lmao Dolphins trash,C.OL,OL,OL,OL,OL,OL,OL
37,1,2286,Ask the governor how we are supposed to pay for this? Typical #teabagger mentality. Government is EVIL until we need them LOL #morningjoe,A,"OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL, NH"
37,1,2286,Ask the governor how we are supposed to pay for this? Typical #teabagger mentality. Government is EVIL until we need them LOL #morningjoe,B,"NH, OL","NH, OL","NH, OL","NH, OL","NH, OL","NH, OL"
37,1,2286,Ask the governor how we are supposed to pay for this? Typical #teabagger mentality. Government is EVIL until we need them LOL #morningjoe,C.HS,NH,NH,NH,NH,NH,NH
37,1,2286,Ask the governor how we are supposed to pay for this? Typical #teabagger mentality. Government is EVIL until we need them LOL #morningjoe,C.OL,OL,OL,OL,OL,OL,OL
37,2,2531,"Lmao the shovel video is pretty awesome, she went down like a ton of bricks lol. Gotta love honky riff raff savages. That is all.",A,"OL, HS","OL, HS","OL, HS","OL, HS","OL, HS","OL, HS"
37,2,2531,"Lmao the shovel video is pretty awesome, she went down like a ton of bricks lol. Gotta love honky riff raff savages. That is all.",B,"HS, OL","HS, OL","HS, OL","HS, OL","HS, OL","HS, OL"
37,2,2531,"Lmao the shovel video is pretty awesome, she went down like a ton of bricks lol. Gotta love honky riff raff savages. That is all.",C.HS,HS,HS,HS,HS,HS,HS
37,2,2531,"Lmao the shovel video is pretty awesome, she went down like a ton of bricks lol. Gotta love honky riff raff savages. That is all.",C.OL,OL,OL,OL,OL,OL,OL
37,3,506,RT @###### @###### called Charlie Baker to concede around 8:15 this morning. She plans to address supporters at 11am. #wcvb,A,"NO, NH","NO, NH","NO, NH","NO, NH","NO, NH","NO, NH"
37,3,506,RT @###### @###### called Charlie Baker to concede around 8:15 this morning. She plans to address supporters at 11am. #wcvb,B,"NH, NO","NH, NO","NH, NO","NH, NO","NH, NO","NH, NO"
37,3,506,RT @###### @###### called Charlie Baker to concede around 8:15 this morning. She plans to address supporters at 11am. #wcvb,C.HS,NH,NH,NH,NH,NH,NH
37,3,506,RT @###### @###### called Charlie Baker to concede around 8:15 this morning. She plans to address supporters at 11am. #wcvb,C.OL,NO,NO,NO,NO,NO,NO
37,4,228,There are some real life hoes on IG. Crazy.,A,"OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL, NH"
37,4,228,There are some real life hoes on IG. Crazy.,B,"NH, OL","NH, OL","NH, OL","NH, OL","NH, OL","NH, OL"
37,4,228,There are some real life hoes on IG. Crazy.,C.HS,NH,NH,NH,NH,NH,NH
37,4,228,There are some real life hoes on IG. Crazy.,C.OL,OL,OL,OL,OL,OL,OL
37,5,1183,"Someone's mother called me a ""handsome, buff, yellow thang"" last night... my ego was temporarily elevated and @###### was dying lol",A,"OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL, NH"
37,5,1183,"Someone's mother called me a ""handsome, buff, yellow thang"" last night... my ego was temporarily elevated and @###### was dying lol",B,"NH, NO","NH, OL","NH, NO","NH, NO","NH, OL","NH, NO"
37,5,1183,"Someone's mother called me a ""handsome, buff, yellow thang"" last night... my ego was temporarily elevated and @###### was dying lol",C.HS,NH,NH,NH,NH,NH,NH
37,5,1183,"Someone's mother called me a ""handsome, buff, yellow thang"" last night... my ego was temporarily elevated and @###### was dying lol",C.OL,OL,OL,OL,OL,OL,OL
37,6,2316,RT @###### Hahahaha basic bitches so funny,A,"OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL, NH"
37,6,2316,RT @###### Hahahaha basic bitches so funny,B,"NH, OL","NH, OL","NH, OL","NH, OL","NH, OL","NH, OL"
37,6,2316,RT @###### Hahahaha basic bitches so funny,C.HS,NH,NH,NH,NH,NH,NH
37,6,2316,RT @###### Hahahaha basic bitches so funny,C.OL,OL,OL,OL,OL,OL,OL
38,1,1136,@###### ; LMAO! . hoes extra sensitive via text.. They swear they hear your tone in every letter. I start using PUNCTUATION'S .,A,"OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL, NH"
38,1,1136,@###### ; LMAO! . hoes extra sensitive via text.. They swear they hear your tone in every letter. I start using PUNCTUATION'S .,B,"NH, OL","NH, OL","NH, OL","NH, OL","NH, OL","NH, OL"
38,1,1136,@###### ; LMAO! . hoes extra sensitive via text.. They swear they hear your tone in every letter. I start using PUNCTUATION'S .,C.HS,NH,NH,NH,NH,NH,NH
38,1,1136,@###### ; LMAO! . hoes extra sensitive via text.. They swear they hear your tone in every letter. I start using PUNCTUATION'S .,C.OL,OL,OL,OL,OL,OL,OL
38,2,1618,@###### @###### @###### and fuck you too ya little bitch you look like a Mexican sucking a cock in ur profile,A,"OL, NH","OL, NH","OL, HS","OL, NH","OL, NH","OL, HS"
38,2,1618,@###### @###### @###### and fuck you too ya little bitch you look like a Mexican sucking a cock in ur profile,B,"HS, OL","HS, OL","HS, OL","HS, OL","HS, OL","HS, OL"
38,2,1618,@###### @###### @###### and fuck you too ya little bitch you look like a Mexican sucking a cock in ur profile,C.HS,HS,HS,HS,HS,HS,HS
38,2,1618,@###### @###### @###### and fuck you too ya little bitch you look like a Mexican sucking a cock in ur profile,C.OL,OL,OL,OL,OL,OL,OL
38,3,2986,@###### @###### I was texting a bitch,A,"OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL, NH"
38,3,2986,@###### @###### I was texting a bitch,B,"NH, OL","NH, OL","NH, OL","NH, OL","NH, OL","NH, OL"
38,3,2986,@###### @###### I was texting a bitch,C.HS,NH,NH,NH,NH,NH,NH
38,3,2986,@###### @###### I was texting a bitch,C.OL,OL,OL,OL,OL,OL,OL
38,4,1073,@###### @###### @###### @###### omg no plz stop calling me an idiot... are we in kindergarden you fucking faggot,A,"OL, HS","OL, HS","OL, HS","OL, HS","OL, HS","OL, HS"
38,4,1073,@###### @###### @###### @###### omg no plz stop calling me an idiot... are we in kindergarden you fucking faggot,B,"HS, OL","HS, OL","HS, OL","HS, OL","HS, OL","HS, OL"
38,4,1073,@###### @###### @###### @###### omg no plz stop calling me an idiot... are we in kindergarden you fucking faggot,C.HS,HS,HS,HS,HS,HS,HS
38,4,1073,@###### @###### @###### @###### omg no plz stop calling me an idiot... are we in kindergarden you fucking faggot,C.OL,OL,OL,OL,OL,OL,OL
38,5,1751,@###### ugly white bitch,A,"OL, HS","OL, HS","OL, HS","OL, HS","OL, HS","OL, HS"
38,5,1751,@###### ugly white bitch,B,"HS, OL","HS, OL","HS, OL","HS, OL","HS, OL","HS, OL"
38,5,1751,@###### ugly white bitch,C.HS,HS,HS,HS,HS,HS,HS
38,5,1751,@###### ugly white bitch,C.OL,OL,OL,OL,OL,OL,OL
38,6,568,@###### oh shut your mouth i was talkin about the morning you fag,A,"OL, HS","OL, HS","OL, HS","OL, HS","OL, HS","OL, HS"
38,6,568,@###### oh shut your mouth i was talkin about the morning you fag,B,"HS, OL","HS, OL","HS, OL","HS, OL","HS, OL","HS, OL"
38,6,568,@###### oh shut your mouth i was talkin about the morning you fag,C.HS,HS,HS,HS,HS,HS,HS
38,6,568,@###### oh shut your mouth i was talkin about the morning you fag,C.OL,OL,OL,OL,OL,OL,OL
39,1,2038,x_x RT @###### Fat bitches with normal sized legs be looking like car keys.,A,"OL, NH","OL, NH","OL, HS","OL, NH","OL, NH","OL, HS"
39,1,2038,x_x RT @###### Fat bitches with normal sized legs be looking like car keys.,B,"HS, OL","HS, OL","HS, OL","HS, OL","HS, OL","HS, OL"
39,1,2038,x_x RT @###### Fat bitches with normal sized legs be looking like car keys.,C.HS,HS,HS,HS,HS,HS,HS
39,1,2038,x_x RT @###### Fat bitches with normal sized legs be looking like car keys.,C.OL,OL,OL,OL,OL,OL,OL
39,2,2088,Black bitches don't be kickin up in our school. Bitches still comin wit durags still on they head nd shit.,A,"OL, HS","OL, HS","OL, HS","OL, HS","OL, HS","OL, HS"
39,2,2088,Black bitches don't be kickin up in our school. Bitches still comin wit durags still on they head nd shit.,B,"HS, OL","HS, OL","HS, OL","HS, OL","HS, OL","HS, OL"
39,2,2088,Black bitches don't be kickin up in our school. Bitches still comin wit durags still on they head nd shit.,C.HS,HS,HS,HS,HS,HS,HS
39,2,2088,Black bitches don't be kickin up in our school. Bitches still comin wit durags still on they head nd shit.,C.OL,OL,OL,OL,OL,OL,OL
39,3,1041,My baby guinea pig is so cute #Adorable,A,"NO, NH","NO, NH","NO, NH","NO, NH","NO, NH","NO, NH"
39,3,1041,My baby guinea pig is so cute #Adorable,B,"NH, NO","NH, NO","NH, NO","NH, NO","NH, NO","NH, NO"
39,3,1041,My baby guinea pig is so cute #Adorable,C.HS,NH,NH,NH,NH,NH,NH
39,3,1041,My baby guinea pig is so cute #Adorable,C.OL,NO,NO,NO,NO,NO,NO
39,4,1929,"RT @###### Here's how your ""suggestion"" plays out @###### 
Racist: ha, those niggers stopped callin each other nigga 

The end",A,"OL, HS","OL, HS","OL, HS","OL, HS","OL, HS","OL, HS"
39,4,1929,"RT @###### Here's how your ""suggestion"" plays out @###### 
Racist: ha, those niggers stopped callin each other nigga 

The end",B,"HS, OL","HS, OL","HS, OL","HS, OL","HS, OL","HS, OL"
39,4,1929,"RT @###### Here's how your ""suggestion"" plays out @###### 
Racist: ha, those niggers stopped callin each other nigga 

The end",C.HS,HS,HS,HS,HS,HS,HS
39,4,1929,"RT @###### Here's how your ""suggestion"" plays out @###### 
Racist: ha, those niggers stopped callin each other nigga 

The end",C.OL,OL,OL,OL,OL,OL,OL
39,5,2276,"@###### .we got 1, except eric holder gave them 2 the beaners 2 kill americans! guess he is race blind!",A,"OL, HS","OL, HS","OL, HS","OL, HS","OL, HS","OL, HS"
39,5,2276,"@###### .we got 1, except eric holder gave them 2 the beaners 2 kill americans! guess he is race blind!",B,"HS, OL","HS, OL","HS, OL","HS, OL","HS, OL","HS, OL"
39,5,2276,"@###### .we got 1, except eric holder gave them 2 the beaners 2 kill americans! guess he is race blind!",C.HS,HS,HS,HS,HS,HS,HS
39,5,2276,"@###### .we got 1, except eric holder gave them 2 the beaners 2 kill americans! guess he is race blind!",C.OL,OL,OL,OL,OL,OL,OL
39,6,731,RT @###### How do bitches &#8220;Peep everything&#8221; but still getting cheated on something not adding up,A,"OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL, NH"
39,6,731,RT @###### How do bitches &#8220;Peep everything&#8221; but still getting cheated on something not adding up,B,"NH, OL","NH, OL","NH, OL","NH, OL","NH, OL","NH, OL"
39,6,731,RT @###### How do bitches &#8220;Peep everything&#8221; but still getting cheated on something not adding up,C.HS,NH,NH,NH,NH,NH,NH
39,6,731,RT @###### How do bitches &#8220;Peep everything&#8221; but still getting cheated on something not adding up,C.OL,OL,OL,OL,OL,OL,OL
40,1,61,&#8220;@###### @###### Sick of all the trash talk and cocky attitudes. #shutupandplay&#8221; Refs have to take control when needed,A,"NO, NH","OL, NH","NO, NH","NO, NH","OL, NH","NO, NH"
40,1,61,&#8220;@###### @###### Sick of all the trash talk and cocky attitudes. #shutupandplay&#8221; Refs have to take control when needed,B,"NH, NO","NH, OL","NH, NO","NH, NO","NH, OL","NH, NO"
40,1,61,&#8220;@###### @###### Sick of all the trash talk and cocky attitudes. #shutupandplay&#8221; Refs have to take control when needed,C.HS,NH,NH,NH,NH,NH,NH
40,1,61,&#8220;@###### @###### Sick of all the trash talk and cocky attitudes. #shutupandplay&#8221; Refs have to take control when needed,C.OL,NO,NO,NO,NO,NO,NO
40,2,2591,Its theTURE of birds. YOU LET ONE of them eat---Next thing you know you've invited the entire ecosystem to shit on your car. #SFvsSTL,A,"NO, NH","NO, NH","NO, NH","NO, NH","NO, NH","NO, NH"
40,2,2591,Its theTURE of birds. YOU LET ONE of them eat---Next thing you know you've invited the entire ecosystem to shit on your car. #SFvsSTL,B,"NH, OL","NH, OL","NO, NO","NH, OL","NH, OL","NO, NO"
40,2,2591,Its theTURE of birds. YOU LET ONE of them eat---Next thing you know you've invited the entire ecosystem to shit on your car. #SFvsSTL,C.HS,NH,NH,NH,NH,NH,NH
40,2,2591,Its theTURE of birds. YOU LET ONE of them eat---Next thing you know you've invited the entire ecosystem to shit on your car. #SFvsSTL,C.OL,NO,OL,OL,NO,OL,OL
40,3,304,Majority of it is trash anyway.,A,"NO, NH","NO, NH","NO, NH","NO, NH","NO, NH","NO, NH"
40,3,304,Majority of it is trash anyway.,B,"NH, NO","NH, NO","NH, NO","NH, NO","NH, NO","NH, NO"
40,3,304,Majority of it is trash anyway.,C.HS,NH,NH,NH,NH,NH,NH
40,3,304,Majority of it is trash anyway.,C.OL,NO,NO,NO,NO,NO,NO
40,4,1541,Yo bitch wanna fuck the squad!!&#128526;,A,"OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL, NH"
40,4,1541,Yo bitch wanna fuck the squad!!&#128526;,B,"NH, OL","NH, OL","NH, OL","NH, OL","NH, OL","NH, OL"
40,4,1541,Yo bitch wanna fuck the squad!!&#128526;,C.HS,NH,NH,NH,NH,NH,NH
40,4,1541,Yo bitch wanna fuck the squad!!&#128526;,C.OL,OL,OL,OL,OL,OL,OL
40,5,2001,RT @###### Real nigga rules: If u drop the blunt u gotta pass that bitch. U don't even get to hit it,A,"OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL, NH"
40,5,2001,RT @###### Real nigga rules: If u drop the blunt u gotta pass that bitch. U don't even get to hit it,B,"HS, OL","HS, OL","HS, OL","HS, OL","HS, OL","HS, OL"
40,5,2001,RT @###### Real nigga rules: If u drop the blunt u gotta pass that bitch. U don't even get to hit it,C.HS,NH,NH,NH,NH,NH,NH
40,5,2001,RT @###### Real nigga rules: If u drop the blunt u gotta pass that bitch. U don't even get to hit it,C.OL,OL,OL,OL,OL,OL,OL
40,6,1641,"RT @###### I'm finally ready to mass market my skidmark-resistant tighty whities, but apparently ""Uncrustables"" is already taken. Fu&#8230;",A,"OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL, NH"
40,6,1641,"RT @###### I'm finally ready to mass market my skidmark-resistant tighty whities, but apparently ""Uncrustables"" is already taken. Fu&#8230;",B,"NH, OL","NH, OL","NH, OL","NH, OL","NH, OL","NH, OL"
